label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1-1-5736,1-1-5741,1-1-5786,1-1-5787,1-1-5789
,745,745,2,179.107590,2.788,0.769264,[M-H]-,C12 PARENT,Dihydroactinidiolide,Dihydroactinidiolide,C11H16O2,0.098,0.937127,179.107590,7071.95,15923.40,7084.18,12554.24,15942.45
,745,746,0,187.133789,2.760,0.113574,,C13-label-8,Dihydroactinidiolide,Dihydroactinidiolide,C11H16O2,0.070,4.321573,179.107590,469311.25,167925.83,193768.27,348124.53,117487.06
,745,747,0,188.137177,2.798,0.123169,,C13-label-9,Dihydroactinidiolide,Dihydroactinidiolide,C11H16O2,0.108,4.055213,179.107590,38061.63,10269.68,5462.85,32976.00,13482.43
,748,748,1,180.030090,1.681,0.510572,[M-H]-,C12 PARENT,4-Aminoisophthalic acid ,4-Aminoisophthalic acid ,C8H7NO4,1.689,0.762811,180.030090,25552.23,27034.12,29813.28,25276.27,22163.40
,749,749,2,445.368591,2.434,0.833925,[M-H]-,C12 PARENT,Docosyl 4-hydroxybenzoate isomer,Docosyl 4-hydroxybenzoate isomer,C29H50O3,0.069,0.274088,445.368591,16973.16,29396.52,34600.94,19313.81,32472.71
,749,750,0,446.372437,2.498,0.059734,,C13-label-1,Docosyl 4-hydroxybenzoate isomer,Docosyl 4-hydroxybenzoate isomer,C29H50O3,0.005,0.752048,445.368591,5500.49,5718.37,0.00,0.00,8586.21
,749,751,0,453.394775,2.378,0.060858,,C13-label-8,Docosyl 4-hydroxybenzoate isomer,Docosyl 4-hydroxybenzoate isomer,C29H50O3,0.125,1.750033,445.368591,30481.96,96704.95,24388.48,27971.81,27232.34
,752,752,5,180.066376,11.395,0.843445,[M-H]-,C12 PARENT,tyrosine,tyrosine,C9H11NO3,0.674,1.355835,180.066376,7284396.50,5927474.50,6368580.00,4232193.50,5957950.00
,752,753,5,181.069763,11.389,0.842441,,C13-label-1,tyrosine,tyrosine,C9H11NO3,0.668,1.179782,180.066376,713438.56,562315.12,592600.31,415414.72,595828.81
,752,754,5,182.073029,11.371,0.704801,,C13-label-2,tyrosine,tyrosine,C9H11NO3,0.650,1.592309,180.066376,41002.43,20544.33,20144.19,11799.67,17189.38
,755,755,3,180.102875,2.416,0.850521,[M-H]-,C12 PARENT,Methylsynephrine isomer,Methylsynephrine isomer,C10H15NO2,0.410,0.677781,180.102875,60316.21,16313.92,55148.01,19230.07,81563.20
,756,756,2,181.050507,4.200,0.728200,[M-H]-,C12 PARENT,Hydroxyphenyllactic acid,Hydroxyphenyllactic acid,C9H10O4,1.350,0.674233,181.050507,301493.69,289837.28,271357.59,209835.06,300102.50
,756,757,2,182.053909,4.242,0.806478,,C13-label-1,Hydroxyphenyllactic acid,Hydroxyphenyllactic acid,C9H10O4,1.392,0.419073,181.050507,27749.37,30764.01,26052.30,18264.39,21411.16
,758,758,5,181.071564,12.208,0.841217,[M-H]-,C12 PARENT,sorbitol,sorbitol,C6H14O6,0.460,1.095501,181.071564,922935.81,854339.81,626307.81,627626.31,647326.56
,758,759,5,182.074753,12.203,0.734964,,C13-label-1,sorbitol,sorbitol,C6H14O6,0.455,2.011318,181.071564,54536.52,47937.69,19765.28,30014.12,34357.10
,760,760,3,181.123260,2.989,0.836594,[M-H]-,C12 PARENT,Methyl geranate,Methyl geranate,C11H18O2,0.314,0.758207,181.123260,14405.61,17901.83,33709.92,11065.85,31300.73
,761,761,3,182.009308,12.483,0.743469,[M-H]-,C12 PARENT,3-Nitrosalicylic acid,3-Nitrosalicylic acid,C7H5NO5,0.926,1.006021,182.009308,29474.47,12782.09,12714.33,12145.41,22965.16
,762,762,2,182.012665,12.933,0.639656,[M-H]-,C12 PARENT,homocysteic acid,homocysteic acid,C4H9NO5S,0.380,1.089836,182.012665,23287.50,20989.61,24284.66,22138.70,25019.15
,762,763,0,184.018677,13.031,0.061508,,C13-label-2,homocysteic acid,homocysteic acid,C4H9NO5S,0.478,4.892243,182.012665,0.00,6647.97,0.00,0.00,0.00
,762,764,0,185.022049,13.006,0.052606,,C13-label-3,homocysteic acid,homocysteic acid,C4H9NO5S,0.453,4.783244,182.012665,0.00,700.17,0.00,0.00,0.00
,765,765,3,182.045746,3.022,0.751188,[M-H]-,C12 PARENT,4-Pyridoxic acid,4-Pyridoxic acid,C8H9NO4,0.572,0.754365,182.045746,115054.85,109928.60,138101.11,169893.22,159453.78
,766,766,5,182.058502,14.196,0.845324,[M-H]-,C12 PARENT,Phosphorylcholine,Phosphorylcholine,C5H14NO4P,0.067,1.508624,182.058502,7977.43,7050.95,7670.58,4681.80,12940.43
,767,767,5,187.006866,2.112,0.853306,[M-H]-,C12 PARENT,Cresol sulfate,Cresol sulfate,C7H8O4S,0.006,0.979137,187.006866,419381.66,236232.73,419601.09,432093.97,371373.25
,767,768,4,188.010284,2.107,0.801880,,C13-label-1,Cresol sulfate,Cresol sulfate,C7H8O4S,0.001,0.649274,187.006866,32169.57,8352.58,23712.37,27109.82,27270.02
,767,769,0,189.014465,2.085,0.057177,,C13-label-2,Cresol sulfate,Cresol sulfate,C7H8O4S,0.021,3.713509,187.006866,1743.92,0.00,0.00,0.00,1998.68
,770,770,5,183.015778,8.089,0.848911,[M-H]-,C12 PARENT,5-hydroxyisourate,5-hydroxyisourate,C5H4N4O4,1.562,1.083863,183.015778,28340.60,34108.16,17827.69,30038.76,41910.50
,771,771,5,184.097641,13.245,0.785533,[M-H]-,C12 PARENT,Ecgonine isomer,Ecgonine isomer,C9H15NO3,0.014,1.491914,184.097641,37332.46,50078.41,52941.04,42314.72,43268.88
,771,772,0,185.101166,13.275,0.056148,,C13-label-1,Ecgonine isomer,Ecgonine isomer,C9H15NO3,0.044,0.577044,184.097641,1349.52,1005.70,2707.05,1174.23,0.00
,771,773,3,187.108658,13.211,0.736030,,C13-label-3,Ecgonine isomer,Ecgonine isomer,C9H15NO3,0.020,3.588231,184.097641,70212.60,54550.94,71823.44,63395.54,61662.44
,771,774,0,188.111923,13.247,0.055838,,C13-label-4,Ecgonine isomer,Ecgonine isomer,C9H15NO3,0.016,3.163514,184.097641,1973.84,0.00,1056.59,2772.82,2129.29
,775,775,2,184.097702,6.957,0.759303,[M-H]-,C12 PARENT,Ecgonine,Ecgonine,C9H15NO3,0.102,1.160377,184.097702,4039.23,6287.50,9205.43,12297.41,12264.86
,776,776,3,184.985428,13.790,0.841452,[M-H]-,C12 PARENT,3-phosphoglycerate,3-phosphoglycerate,C3H7O7P,0.251,1.319781,184.985428,8771.65,5667.13,3473.39,2082.45,15577.77
,777,777,5,185.118118,2.430,0.811227,[M-H]-,C12 PARENT,10-hydroxy-2E-decenoic acid,10-hydroxy-2E-decenoic acid,C10H18O3,0.147,1.071554,185.118118,2066417.88,1364015.38,1636652.00,891130.31,1641462.38
,777,778,0,186.121490,2.430,0.385907,,C13-label-1,10-hydroxy-2E-decenoic acid,10-hydroxy-2E-decenoic acid,C10H18O3,0.147,0.983794,185.118118,216062.88,129653.29,135620.48,109375.73,155405.27
,777,779,0,187.125000,2.439,0.055551,,C13-label-2,10-hydroxy-2E-decenoic acid,10-hydroxy-2E-decenoic acid,C10H18O3,0.138,0.163087,185.118118,0.00,0.00,0.00,0.00,7219.93
,777,780,0,189.131592,2.405,0.061343,,C13-label-4,10-hydroxy-2E-decenoic acid,10-hydroxy-2E-decenoic acid,C10H18O3,0.172,0.726103,185.118118,3769.88,14883.52,0.00,0.00,6847.96
,781,781,1,185.154495,2.420,0.731359,[M-H]-,C12 PARENT,C11:0(Undecanoic acid),C11:0(Undecanoic acid),C11H22O2,0.120,1.153754,185.154495,130207.15,237502.80,303628.00,170795.08,156462.55
,781,782,0,186.157867,2.434,0.058321,,C13-label-1,C11:0(Undecanoic acid),C11:0(Undecanoic acid),C11H22O2,0.106,0.983602,185.154495,14611.43,26089.65,46636.07,30221.42,25256.02
,783,783,3,186.055939,4.088,0.806349,[M-H]-,C12 PARENT,trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,C11H9NO2,1.128,0.574082,186.055939,72051.45,79312.99,60944.86,116477.70,64737.06
,783,784,0,187.059204,4.105,0.059399,,C13-label-1,trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,C11H9NO2,1.145,1.060435,186.055939,4018.91,0.00,5760.51,3197.85,0.00
,783,785,0,197.093109,4.082,0.054031,,C13-label-11,trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,C11H9NO2,1.122,0.774193,186.055939,0.00,4386.14,4324.89,3107.81,5201.49
